$CONFIGURATION,$DESCRIPTION,CLM_Root_MIDI,CLM_Root_Hz,CLM_SOS_in_per_s,CLM_Bore_ID_in,CLM_Wall_T_in,CLM_Body_OD_in,CLM_Bell_OD_in,CLM_Body_L_Final_in,CLM_Blank_L_in,CLM_K01_X_Bell_in,CLM_K01_Dia_in,CLM_H01_X_Bell_in,CLM_H01_Dia_in,CLM_H02_X_Bell_in,CLM_H02_Dia_in,CLM_H03_X_Bell_in,CLM_H03_Dia_in,CLM_H04_X_Bell_in,CLM_H04_Dia_in,CLM_H05_X_Bell_in,CLM_H05_Dia_in,CLM_K02_X_Bell_in,CLM_K02_Dia_in,CLM_H06_X_Bell_in,CLM_H06_Dia_in,CLM_H07_X_Bell_in,CLM_H07_Dia_in
CLM-SOP-C4,Soprano C,60,261.63,13552.0,0.5,0.188,0.875,1.65,12.672,14.172,0.622,0.16,1.314,0.18,2.576,0.19,3.147,0.17,4.211,0.19,5.157,0.2,5.574,0.15,5.988,0.17,6.37,0.16
CLM-ALT-G3,Alto G,55,196.0,13552.0,0.625,0.219,1.063,1.95,16.939,18.439,0.84,0.2,1.763,0.225,3.447,0.238,4.209,0.213,5.63,0.238,6.892,0.25,7.45,0.188,8.002,0.213,8.512,0.2
CLM-TEN-C3,Tenor C,48,130.81,13552.0,0.75,0.25,1.25,2.35,25.483,26.983,1.297,0.24,2.678,0.27,5.2,0.285,6.345,0.255,8.47,0.285,10.361,0.3,11.203,0.225,12.028,0.255,12.793,0.24
CLM-BAS-F2,Bass F,41,87.31,13552.0,0.875,0.313,1.5,2.9,38.32,39.82,1.995,0.28,4.061,0.315,7.838,0.333,9.557,0.298,12.739,0.333,15.57,0.35,16.839,0.263,18.071,0.298,19.22,0.28
